run,bioProject,bioSample,tissue,additional_info,condition_treatment,source,species,breed,gender,development_stage
ERR2354041,PRJEB25226,SAMEA103886617,ileum,normal,River Buffalo,Mediterranean,MALE,ADULT,Alimentary canal,
ERR2354042,PRJEB25226,SAMEA103886617,ileum,normal,River Buffalo,Mediterranean,MALE,ADULT,Alimentary canal,
ERR2354043,PRJEB25226,SAMEA103886617,ileum,normal,River Buffalo,Mediterranean,MALE,ADULT,Alimentary canal,
ERR2354044,PRJEB25226,SAMEA103886617,ileum,normal,River Buffalo,Mediterranean,MALE,ADULT,Alimentary canal,
ERR2354045,PRJEB25226,SAMEA103886617,ileum,normal,River Buffalo,Mediterranean,MALE,ADULT,Alimentary canal,
ERR2354046,PRJEB25226,SAMEA103886617,ileum,normal,River Buffalo,Mediterranean,MALE,ADULT,Alimentary canal,
ERR2354047,PRJEB25226,SAMEA103886617,ileum,normal,River Buffalo,Mediterranean,MALE,ADULT,Alimentary canal,
ERR2354048,PRJEB25226,SAMEA103886617,ileum,normal,River Buffalo,Mediterranean,MALE,ADULT,Alimentary canal,
ERR2354049,PRJEB25226,SAMEA103886617,ileum,normal,River Buffalo,Mediterranean,MALE,ADULT,Alimentary canal,
ERR2354050,PRJEB25226,SAMEA103886617,ileum,normal,River Buffalo,Mediterranean,MALE,ADULT,Alimentary canal,
ERR2354051,PRJEB25226,SAMEA103886617,ileum,normal,River Buffalo,Mediterranean,MALE,ADULT,Alimentary canal,
ERR2354052,PRJEB25226,SAMEA103886617,ileum,normal,River Buffalo,Mediterranean,MALE,ADULT,Alimentary canal,
ERR2354053,PRJEB25226,SAMEA103886617,ileum,normal,River Buffalo,Mediterranean,MALE,ADULT,Alimentary canal,
ERR2354054,PRJEB25226,SAMEA103886617,ileum,normal,River Buffalo,Mediterranean,MALE,ADULT,Alimentary canal,
